iter	Passed	Remaining
403	7267	10720
404	7284	10701
405	7301	10682
406	7319	10664
407	7337	10646
408	7355	10628
409	7374	10612
410	7395	10598
411	7416	10584
412	7435	10568
413	7455	10552
414	7475	10537
415	7494	10521
416	7514	10505
417	7535	10491
418	7554	10475
419	7573	10459
420	7593	10443
421	7616	10432
422	7637	10418
423	7658	10403
424	7678	10388
425	7700	10375
426	7719	10358
427	7739	10343
428	7759	10327
429	7779	10311
430	7800	10298
431	7821	10283
432	7842	10269
433	7866	10258
434	7886	10243
435	7909	10231
436	7930	10216
437	7950	10201
438	7972	10188
439	7992	10172
440	8014	10158
441	8033	10142
442	8053	10126
443	8074	10111
444	8095	10096
445	8114	10079
446	8134	10063
447	8154	10047
448	8173	10030
449	8195	10016
450	8214	9999
451	8233	9982
452	8254	9966
453	8274	9950
454	8294	9935
455	8315	9920
456	8335	9903
457	8354	9886
458	8375	9871
459	8401	9862
460	8422	9847
461	8443	9832
462	8463	9816
463	8482	9798
464	8502	9782
465	8522	9766
466	8542	9749
467	8562	9733
468	8582	9717
469	8604	9702
470	8624	9686
471	8646	9672
472	8666	9655
473	8687	9640
474	8708	9624
475	8727	9607
476	8747	9591
477	8767	9574
478	8789	9559
479	8809	9543
480	8828	9526
481	8848	9508
482	8867	9491
483	8888	9475
484	8910	9461
485	8930	9444
486	8950	9428
487	8972	9413
488	8992	9396
489	9012	9380
490	9032	9363
491	9054	9349
492	9073	9331
493	9093	9314
494	9113	9297
495	9132	9279
496	9153	9263
497	9172	9246
498	9192	9229
499	9212	9212
500	9233	9196
501	9254	9180
502	9273	9162
503	9293	9146
504	9313	9129
505	9335	9113
506	9357	9099
507	9377	9082
508	9399	9067
509	9417	9047
510	9437	9031
511	9471	9027
512	9512	9030
513	9546	9026
514	9580	9022
515	9601	9006
516	9620	8987
517	9640	8970
518	9659	8952
519	9680	8935
520	9700	8918
521	9720	8901
522	9740	8883
523	9760	8866
524	9780	8849
525	9802	8833
526	9822	8815
527	9843	8799
528	9863	8782
529	9885	8766
530	9904	8748
531	9924	8730
532	9944	8713
533	9965	8696
534	9986	8679
535	10004	8660
536	10024	8643
537	10044	8625
538	10065	8609
539	10086	8591
540	10106	8574
541	10126	8557
542	10146	8539
543	10166	8522
544	10187	8504
545	10207	8487
546	10227	8470
547	10250	8454
548	10270	8437
549	10291	8420
550	10311	8402
551	10331	8385
552	10351	8367
553	10372	8350
554	10396	8335
555	10416	8318
556	10435	8299
557	10455	8281
558	10475	8264
559	10494	8245
560	10514	8227
561	10533	8209
562	10552	8191
563	10573	8174
564	10594	8156
565	10614	8139
566	10634	8121
567	10654	8103
568	10675	8086
569	10695	8068
570	10716	8051
571	10736	8033
572	10756	8015
573	10775	7997
574	10795	7978
575	10815	7961
576	10835	7943
577	10854	7925
578	10874	7907
579	10893	7888
580	10911	7869
581	10931	7851
582	10951	7833
583	10971	7815
584	10989	7796
585	11009	7778
586	11029	7760
587	11050	7742
